RA,Nome,Gênero,Turma,Instituição de ensino,Ano ingresso,Fase,Fase Ideal,Defasagem,Pedra 2023,INDE 2022,INDE 2023,Data de Nasc,Idade,Pedra 20,Pedra 21,Pedra 22,Pedra 23,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,IPP,Rec Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu PV,IPV,IAN,Destaque IEG,Destaque IDA,Destaque IPV,Ano
RA-861,Aluno-861,Feminino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,9.31095,6/17/2015,8.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.5,10.0,8.13,8.4375,,9.6,9.8,9.4,,,,8.92,10.0,,,,2023
RA-862,Aluno-862,Masculino,ALFA A - G0/G1,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Topázio,,8.2212,5/31/2014,9.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,8.5,9.1,8.14,7.5,,8.9,8.5,9.2,,,,8.585,5.0,,,,2023
RA-863,Aluno-863,Masculino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Quartzo,,5.92975,2/25/2016,7.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,7.6,3.14,5.9375,,6.3,7.0,5.5,,,,6.26,10.0,,,,2023
RA-864,Aluno-864,Feminino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Ametista,,7.034,2015-12-03 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,7.6,8.14,7.5,,6.3,7.0,5.5,,,,8.5,10.0,,,,2023
RA-865,Aluno-865,Masculino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.1552,11/13/2014,8.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,8.5,8.7,7.52,7.5,,7.4,7.3,7.5,,,,7.915,10.0,,,,2023
RA-866,Aluno-866,Feminino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Ametista,,7.679,2016-10-02 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,8.3,8.76,7.5,,8.6,8.2,8.9,,,,8.415,10.0,,,,2023
RA-867,Aluno-867,Masculino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.6992,6/29/2015,8.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,8.6,8.76,7.5,,8.9,8.7,9.0,,,,8.415,10.0,,,,2023
RA-868,Aluno-868,Masculino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.63895,2015-08-11 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,10.0,9.5,8.76,7.1875,,7.1,7.8,6.3,,,,8.67,10.0,,,,2023
RA-869,Aluno-869,Feminino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,9.2587,1/15/2015,8.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,10.0,8.76,8.125,,9.6,9.8,9.4,,,,8.75,10.0,,,,2023
RA-870,Aluno-870,Feminino,ALFA A - G0/G1,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Quartzo,,4.909,10/20/2014,9.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,8.5,8.76,5.0,,1.5,2.0,1.0,,,,5.165,5.0,,,,2023
RA-871,Aluno-871,Masculino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Agata,,6.8617,6/21/2014,9.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,9.5,3.76,4.375,,6.9,6.8,7.0,,,,6.84,5.0,,,,2023
RA-872,Aluno-872,Feminino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 2 (5° e 6° ano),-2,Quartzo,,5.267,5/27/2013,10.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,6.7,2.52,6.25,,4.3,5.5,3.0,,,,8.5,5.0,,,,2023
RA-873,Aluno-873,Feminino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 2 (5° e 6° ano),-2,Ametista,,7.8012,2012-01-03 00:00:00,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,8.5,9.7,7.52,6.25,,7.0,7.2,6.8,,,,8.67,5.0,,,,2023
RA-874,Aluno-874,Masculino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Quartzo,,5.811,11/17/2013,9.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,8.2,7.52,6.25,,4.8,6.3,3.3,,,,6.67,5.0,,,,2023
RA-875,Aluno-875,Masculino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Topázio,,8.2712,4/26/2014,9.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,9.5,7.52,7.5,,7.3,7.0,7.5,,,,9.845,5.0,,,,2023
RA-876,Aluno-876,Masculino,ALFA B - G2/G3,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.6492,2015-11-04 00:00:00,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,9.4,7.52,7.5,,7.5,7.3,7.7,,,,8.835,10.0,,,,2023
RA-877,Aluno-877,Masculino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,,7.4722,6/24/2014,9.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,9.5,7.52,5.0,,6.9,7.5,6.2,,,,7.5,5.0,,,,2023
RA-878,Aluno-878,Masculino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 2 (5° e 6° ano),-2,Agata,,6.24,7/22/2013,10.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,9.5,2.52,5.0,,8.1,8.0,8.2,,,,7.34,5.0,,,,2023
RA-879,Aluno-879,Feminino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Agata,,6.8225,2014-05-03 00:00:00,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,9.8,2.52,6.875,,8.2,8.2,8.2,,,,8.915,5.0,,,,2023
RA-880,Aluno-880,Feminino,ALFA B - G2/G3,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Agata,,6.724,11/29/2015,7.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,9.4,2.52,6.25,,6.3,6.3,6.2,,,,8.585,10.0,,,,2023
RA-881,Aluno-881,Masculino,ALFA B - G2/G3,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Ametista,,7.7322,4/23/2015,8.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,8.9,7.52,5.0,,7.3,7.5,7.0,,,,6.25,10.0,,,,2023
