RA,Nome,Gênero,Turma,Escola,Instituição de ensino,Ativo/ Inativo,Ano ingresso,Fase,Fase Ideal,Defasagem,Pedra 2024,INDE 2022,INDE 2023,INDE 2024,Data de Nasc,Idade,Pedra 20,Pedra 21,Pedra 22,Pedra 23,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Avaliador4,Avaliador5,Avaliador6,IAA,IEG,IPS,IPP,Rec Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu PV,IPV,IAN,Destaque IEG,Destaque IDA,Destaque IPV,Ano
RA-1,Aluno-1,Feminino,8E,Universidade Santo Amaro (UNISA),Privada *Parcerias com Bolsa 100%,Cursando,2021,8E,Fase 8 (Universitários),0,,5.783132947712418,,,2003-10-03 00:00:00,21,Ametista,Ametista,Quartzo,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1000,Aluno-1000,Feminino,1N,EE Helio Luiz Dobrochinski Prof,Pública,Cursando,2023,1N,Fase 1 (3° e 4° ano),0,Topázio,,7.9162,8.364790909100002,2015-04-20 00:00:00,9,,,,Ametista,,,,2,Avaliador-15,,Avaliador-2,,,,,,9.002,9.5454545455,6.26,8.125,,7.75,7.5,8.0,,,,7.835,10.0,,,,2024
RA-1001,Aluno-1001,Feminino,1N,EE Helio Luiz Dobrochinski Prof,Pública,Cursando,2023,1N,Fase 2 (5° e 6° ano),-1,Ametista,,8.1162,7.7964318841,2014-03-13 00:00:00,10,,,,Topázio,,,,2,Avaliador-15,,Avaliador-2,,,,,,7.502,9.347826087,7.51,7.916666667,,7.75,6.5,9.0,,,,7.92,5.0,,,,2024
RA-1002,Aluno-1002,Feminino,ALFA N - G2/G3,EM Cecilia Cristina de Oliveira Rodrigues,Pública,Cursando,2023,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,,7.9012,7.967866666700001,2014-07-13 00:00:00,10,,,,Ametista,,,,2,Avaliador-13,,Avaliador-2,,,,,,9.002,7.833333333500001,7.51,7.5,,9.25,10.0,8.5,,,,8.25,5.0,,,,2024
RA-1003,Aluno-1003,Masculino,ALFA J - G2/G3,EM Maria Ignez Concelles Irma Ines,Pública,Cursando,2023,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,,7.6522,7.627588888900001,2015-01-22 00:00:00,9,,,,Ametista,,,,2,Avaliador-3,,Avaliador-13,,,,,,8.002,8.6944444445,7.51,6.875,,8.25,10.0,6.5,,,,7.5,5.0,,,,2024
RA-1004,Aluno-1004,Feminino,ALFA J - G2/G3,EM Pedro Antonio de Almeida,Pública,Cursando,2023,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,,8.3137,7.801200000000001,2014-12-29 00:00:00,9,,,,Topázio,,,,2,Avaliador-3,,Avaliador-13,,,,,,9.502,9.25,7.51,7.5,,7.5,7.5,7.5,,,,7.5,5.0,,,,2024
RA-1006,Aluno-1006,Feminino,ALFA J - G2/G3,EM Pedro Antonio de Almeida,Pública,Cursando,2023,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,,8.5922,7.040088888900001,2015-05-24 00:00:00,9,,,,Topázio,,,,2,Avaliador-3,,Avaliador-13,,,,,,8.502,8.4444444445,7.51,7.5,,5.0,5.0,5.0,,,,7.5,5.0,,,,2024
RA-1008,Aluno-1008,Masculino,ALFA I - G2/G3,EE Joaquim Mendes Feliz,Pública,Cursando,2023,ALFA,Fase 1 (3° e 4° ano),-1,Agata,,8.13595,6.8667414438000005,2015-05-22 00:00:00,9,,,,Topázio,,,,2,Avaliador-3,,Avaliador-13,,,,,,7.002,6.483957219,7.51,7.1875,,7.0,6.5,7.5,,,,7.5,5.0,,,,2024
RA-1009,Aluno-1009,Masculino,ALFA E - G2/G3,EE Dom Pedro Villas Boas de Souza,Pública,Cursando,2023,ALFA,Fase 1 (3° e 4° ano),-1,Agata,,7.245,6.395389393900001,2015-03-27 00:00:00,9,,,,Ametista,,,,3,Avaliador-3,,Avaliador-13,,Avaliador-9,,,,8.002,6.8863636365000005,2.51,6.5625,,7.5,10.0,5.0,,,,6.553333333,5.0,,,,2024
RA-1012,Aluno-1012,Feminino,ALFA C - G0/G1,EE Joaquim Mendes Feliz,Pública,Cursando,2023,ALFA,Fase 1 (3° e 4° ano),-1,Topázio,,7.96495,8.057128571400002,2015-05-18 00:00:00,9,,,,Ametista,,,,3,Avaliador-3,,Avaliador-11,,Avaliador-9,,,,9.502,9.523809524,2.51,8.125,,9.75,10.0,9.5,,,,8.443333333,5.0,,,,2024
